Image_Links, Names, Short_Description, For_More_Info
https://m.media-amazon.com/images/M/MV5BMjAwMjk3NDUzN15BMl5BanBnXkFtZTcwNjI4MTY0NA@@._V1_UX140_CR00140209_AL_.jpg ,  Aamir Khan , Aamir is no doubt one of the most dedicated actors in this world. With , https://en.wikipedia.org/wiki/ Aamir Khan
https://m.media-amazon.com/images/M/MV5BODI4NDY1NzkyM15BMl5BanBnXkFtZTgwNzM3MDM0OTE@._V1_UY209_CR130140209_AL_.jpg ,  Akshay Kumar , Akshay Kumar born September 9 1967 is an actor. He studied martial  , https://en.wikipedia.org/wiki/ Akshay Kumar
https://m.media-amazon.com/images/M/MV5BMTY0MDY2MDMwOV5BMl5BanBnXkFtZTgwNDE4MDM0OTE@._V1_UY209_CR60140209_AL_.jpg ,  Ajay Devgn , Ajay Devgn is an Indian film actor director and producer. He made hi , https://en.wikipedia.org/wiki/ Ajay Devgn
https://m.media-amazon.com/images/M/MV5BOWUzNjU3YTUtOGIyMi00MDk3LTk1NDMtMzY4MDZlNDFhNTFhXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR730140209_AL_.jpg ,  Amjad Khan , Amjad Khan was born on November 12 1940 in Hyderabad Hyderabad State , https://en.wikipedia.org/wiki/ Amjad Khan
https://m.media-amazon.com/images/M/MV5BNTk1OTUxMzIzMV5BMl5BanBnXkFtZTcwMzMxMjI0Nw@@._V1_UY209_CR60140209_AL_.jpg ,  Amitabh Bachchan , Son of well known poet Harivansh Rai Bachchan and Teji Bachchan. He ha , https://en.wikipedia.org/wiki/ Amitabh Bachchan
https://m.media-amazon.com/images/M/MV5BNzZhNDQ1YzItNTVlOC00MmVmLTkzMjEtMDFmN2Q0MDU2YmQ3XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR210140209_AL_.jpg ,  Amol Palekar , Amol Palekar was born on November 24 1944 in Bombay Bombay Presidenc , https://en.wikipedia.org/wiki/ Amol Palekar
https://m.media-amazon.com/images/M/MV5BMTU2NzkzODA3OV5BMl5BanBnXkFtZTcwMzk2MDMyOA@@._V1_UX140_CR00140209_AL_.jpg ,  Abhay Deol , Abhay Deol (born in 1976 India) is an Indian film actor. He is the ne , https://en.wikipedia.org/wiki/ Abhay Deol
https://m.media-amazon.com/images/M/MV5BMjAxNDQyNDkxM15BMl5BanBnXkFtZTcwNTQyNTA0MQ@@._V1_UY209_CR870140209_AL_.jpg ,  Akshaye Khanna , Akshaye Khanna was born in Mumbai in 1975. He is the middle son of Bol , https://en.wikipedia.org/wiki/ Akshaye Khanna
https://m.media-amazon.com/images/M/MV5BNmMwOGYwMjUtN2M5My00ODIxLWI3ZjctODM2MGI4OGQzOWM0XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR60140209_AL_.jpg ,  Arshad Warsi , Arshad Warsi was born in Mumbai India and did his schooling at a boa , https://en.wikipedia.org/wiki/ Arshad Warsi
https://m.media-amazon.com/images/M/MV5BZTkxYmU1NmUtNGE4Ni00OWNmLWE5YzktNTJiZTlmMTIyMTM5XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR10140209_AL_.jpg ,  Anushka Shetty , Anushka Shetty is an Indian Film Actress. She was also a Yoga Instruct , https://en.wikipedia.org/wiki/ Anushka Shetty
https://m.media-amazon.com/images/M/MV5BY2E1ODI1MGUtYWY1ZS00ZDdlLTg0ZDctNWU1NmJhM2UxYzU5XkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_UY209_CR00140209_AL_.jpg ,  Atul Kulkarni , Atul Kulkarni was born on September 10 1965 in Karnataka India. He i , https://en.wikipedia.org/wiki/ Atul Kulkarni
https://m.media-amazon.com/images/M/MV5BMjEyNDQ4MzUzNF5BMl5BanBnXkFtZTgwNjY3OTczOTE@._V1_UX140_CR00140209_AL_.jpg ,  Asrani , Asrani was born in a middle class Sindhi family. His father migrated t , https://en.wikipedia.org/wiki/ Asrani
https://m.media-amazon.com/images/M/MV5BOTk4MDY4ODAwNl5BMl5BanBnXkFtZTcwNzQ0MjY2Nw@@._V1_UY209_CR870140209_AL_.jpg ,  Ayushmann Khurrana , Ayushmann Khurrana was born on 14 September 1984 in Chandigarh India. , https://en.wikipedia.org/wiki/ Ayushmann Khurrana
https://m.media-amazon.com/images/M/MV5BYWIzYjZkZTAtNDM0MS00YjBiLWJlMjItZDY1YTJhNjMxNTExXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UX140_CR00140209_AL_.jpg ,  Aruna Irani , Aruna Irani made her debut in the movie Gunga Jumna (1961) at nine yea , https://en.wikipedia.org/wiki/ Aruna Irani
https://m.media-amazon.com/images/M/MV5BMjE4MjAxODk1NV5BMl5BanBnXkFtZTcwODQ0MjY2Nw@@._V1_UY209_CR870140209_AL_.jpg ,  Annu Kapoor , Annu Kapoor made his debut in the film Mandi directed by Shyam Benegal , https://en.wikipedia.org/wiki/ Annu Kapoor
https://m.media-amazon.com/images/M/MV5BMzk5Mzc5Y2YtYjJjYy00OGIyLTg4MzctZTMxNDBiYzY2MTcxXkEyXkFqcGdeQXVyNjc0MTQwOTc@._V1_UY209_CR1160140209_AL_.jpg ,  Ashish Vidyarthi , Ashish Vidyarthi was born on June 19 1962 in Tellicherry Kerala Ind , https://en.wikipedia.org/wiki/ Ashish Vidyarthi
https://m.media-amazon.com/images/M/MV5BN2Q2YzA4MDMtMzVkYy00ZTMwLTgzN2EtZTc4NTRiODhkNzM3XkEyXkFqcGdeQXVyMjA4ODEzMzE@._V1_UY209_CR170140209_AL_.jpg ,  Adil Hussain , Adil Hussain is known for his critically acclaimed performances in awa , https://en.wikipedia.org/wiki/ Adil Hussain
https://m.media-amazon.com/images/M/MV5BMjMyMjc1OTgzNF5BMl5BanBnXkFtZTgwMDY1NDMzOTE@._V1_UY209_CR30140209_AL_.jpg ,  Anupam Kher , Anupam Kher was born on March 7 1955 in Shimla Himachal Pradesh Ind , https://en.wikipedia.org/wiki/ Anupam Kher
https://m.media-amazon.com/images/M/MV5BMjUyMWE5MjUtMDlkMC00ODc0LThkOTgtNjZhNDgyMTU5ZDhlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UX140_CR00140209_AL_.jpg ,  Anil Kapoor , Living in a Chawl in Tilak Nagar Punjabi-speaking Anil was born in 19 , https://en.wikipedia.org/wiki/ Anil Kapoor
https://m.media-amazon.com/images/M/MV5BYWRlMTk2NWYtYjhjNy00NmRjLTg4NWMtMmM2YjJlN2YwNWE4XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR80140209_AL_.jpg ,  Amrish Puri , Believe it or not Amrish Puri wanted to become a Bollywood movie hero , https://en.wikipedia.org/wiki/ Amrish Puri
https://m.media-amazon.com/images/M/MV5BZmNhMWQyOGYtYmZkMy00ZjdjLWE4N2QtYjc0NzEyZjViZWQzXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR110140209_AL_.jpg ,  Amole Gupte , Amole Gupte is an Indian screenwriter actor and director known for  , https://en.wikipedia.org/wiki/ Amole Gupte
https://m.media-amazon.com/images/M/MV5BNTc4ZjFlMjUtODU3MS00M2JhLTlkMzEtMmIyODFiMjAwZmJhXkEyXkFqcGdeQXVyNTE0MDc0NTM@._V1_UY209_CR620140209_AL_.jpg ,  Boman Irani , Boman Irani was born on December 2 1959 in Bombay State of Bombay I , https://en.wikipedia.org/wiki/ Boman Irani
https://m.media-amazon.com/images/M/MV5BZDgwMGMzMWUtMmQ1Yi00NjM0LTlkMDgtMTk5MmFkMWJhNDY1XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR100140209_AL_.jpg ,  Balraj Sahni , Balraj Sahni was born on May 1 1913 in Rawalpindi Punjab British In , https://en.wikipedia.org/wiki/ Balraj Sahni
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/medium/name-2135195744._CB466677935_.png ,  Binnu Dhillon , Binnu Dhillon is an actor and producer known for Dev.D (2009) Vadhay , https://en.wikipedia.org/wiki/ Binnu Dhillon
https://m.media-amazon.com/images/M/MV5BODIwNGY2OGItN2I4Ny00Y2ExLWEzZmQtMTI0M2IxMWQxYTU5XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY209_CR20140209_AL_.jpg ,  Bharat Bhushan , Bharat Bhushan was born on June 14 1920 in Meerut United Provinces o , https://en.wikipedia.org/wiki/ Bharat Bhushan
https://m.media-amazon.com/images/M/MV5BOGQ4MTc3MWYtNmUxNi00Nzk3LWFjMDItM2Y1NmVmMDEyNWIxXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR30140209_AL_.jpg ,  Chiranjeevi , This Telugu Star was a student at the Madras Film Institute and an ama , https://en.wikipedia.org/wiki/ Chiranjeevi
https://m.media-amazon.com/images/M/MV5BMTk5NjI3MTEwNF5BMl5BanBnXkFtZTgwMzU2MTMzOTE@._V1_UX140_CR00140209_AL_.jpg ,  Chunky Pandey , Chunky Pandey was born in Bombay India on September 26 1962 in a non , https://en.wikipedia.org/wiki/ Chunky Pandey
https://m.media-amazon.com/images/M/MV5BMzI4Njg3OTcyNF5BMl5BanBnXkFtZTcwNzQzMTYxOA@@._V1_UY209_CR110140209_AL_.jpg ,  Danny Denzongpa , Danny who married Gawa Denzongpa a Sikkimese princess and niece of t , https://en.wikipedia.org/wiki/ Danny Denzongpa
https://m.media-amazon.com/images/M/MV5BMjYyYzViMmYtMjU4Yi00NGM3LWFjZTEtZmFkOGFmOTllY2I2XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR40140209_AL_.jpg ,  Darsheel Safary , Born in the same city and on the same month as his family friend Aamir , https://en.wikipedia.org/wiki/ Darsheel Safary
